"geo","country"
"NA","BM"
"NA","CA"
"NA","GL"
"NA","PM"
"NA","US"
"LA","AG"
"LA","AI"
"LA","AR"
"LA","AW"
"LA","BB"
"LA","BL"
"LA","BO"
"LA","BQ"
"LA","BR"
"LA","BS"
"LA","BZ"
"LA","CL"
"LA","CO"
"LA","CR"
"LA","CU"
"LA","CW"
"LA","DM"
"LA","DO"
"LA","EC"
"LA","FK"
"LA","GD"
"LA","GF"
"LA","GP"
"LA","GT"
"LA","GY"
"LA","HN"
"LA","HT"
"LA","JM"
"LA","KN"
"LA","KY"
"LA","LC"
"LA","MF"
"LA","MQ"
"LA","MS"
"LA","MX"
"LA","NI"
"LA","PA"
"LA","PE"
"LA","PY"
"LA","SR"
"LA","SV"
"LA","SX"
"LA","TC"
"LA","TT"
"LA","UY"
"LA","VC"
"LA","VE"
"LA","VG"
"LA","VI"
"APAC","AF"
"APAC","AS"
"APAC","AU"
"APAC","BD"
"APAC","BN"
"APAC","BT"
"APAC","CC"
"APAC","CK"
"APAC","CN"
"APAC","CX"
"APAC","FJ"
"APAC","FM"
"APAC","GU"
"APAC","HK"
"APAC","HM"
"APAC","ID"
"APAC","IN"
"APAC","IO"
"APAC","JP"
"APAC","KG"
"APAC","KH"
"APAC","KI"
"APAC","KP"
"APAC","KR"
"APAC","KZ"
"APAC","LA"
"APAC","LK"
"APAC","MH"
"APAC","MM"
"APAC","MN"
"APAC","MO"
"APAC","MP"
"APAC","MV"
"APAC","MY"
"APAC","NC"
"APAC","NF"
"APAC","NP"
"APAC","NR"
"APAC","NU"
"APAC","NZ"
"APAC","PF"
"APAC","PG"
"APAC","PH"
"APAC","PK"
"APAC","PN"
"APAC","PW"
"APAC","SB"
"APAC","SG"
"APAC","TF"
"APAC","TH"
"APAC","TJ"
"APAC","TK"
"APAC","TL"
"APAC","TM"
"APAC","TO"
"APAC","TV"
"APAC","TW"
"APAC","UM"
"APAC","UZ"
"APAC","VN"
"APAC","VU"
"APAC","WF"
"APAC","WS"
"EMEA","AD"
"EMEA","AE"
"EMEA","AL"
"EMEA","AM"
"EMEA","AO"
"EMEA","AQ"
"EMEA","AT"
"EMEA","AX"
"EMEA","AZ"
"EMEA","BA"
"EMEA","BE"
"EMEA","BF"
"EMEA","BG"
"EMEA","BH"
"EMEA","BI"
"EMEA","BJ"
"EMEA","BW"
"EMEA","BY"
"EMEA","CD"
"EMEA","CF"
"EMEA","CG"
"EMEA","CH"
"EMEA","CI"
"EMEA","CM"
"EMEA","CV"
"EMEA","CY"
"EMEA","CZ"
"EMEA","DE"
"EMEA","DJ"
"EMEA","DK"
"EMEA","DZ"
"EMEA","EE"
"EMEA","EG"
"EMEA","EH"
"EMEA","ER"
"EMEA","ES"
"EMEA","ET"
"EMEA","FI"
"EMEA","FO"
"EMEA","FR"
"EMEA","GA"
"EMEA","GB"
"EMEA","GE"
"EMEA","GG"
"EMEA","GH"
"EMEA","GI"
"EMEA","GM"
"EMEA","GN"
"EMEA","GQ"
"EMEA","GR"
"EMEA","GS"
"EMEA","GW"
"EMEA","HR"
"EMEA","HU"
"EMEA","IE"
"EMEA","IL"
"EMEA","IM"
"EMEA","IQ"
"EMEA","IR"
"EMEA","IS"
"EMEA","IT"
"EMEA","JE"
"EMEA","JO"
"EMEA","KE"
"EMEA","KM"
"EMEA","KW"
"EMEA","LB"
"EMEA","LI"
"EMEA","LR"
"EMEA","LS"
"EMEA","LT"
"EMEA","LU"
"EMEA","LV"
"EMEA","LY"
"EMEA","MA"
"EMEA","MC"
"EMEA","MD"
"EMEA","ME"
"EMEA","MG"
"EMEA","MK"
"EMEA","ML"
"EMEA","MR"
"EMEA","MT"
"EMEA","MU"
"EMEA","MW"
"EMEA","MZ"
"EMEA","NE"
"EMEA","NG"
"EMEA","NL"
"EMEA","NO"
"EMEA","OM"
"EMEA","PL"
"EMEA","PS"
"EMEA","PT"
"EMEA","QA"
"EMEA","RE"
"EMEA","RO"
"EMEA","RS"
"EMEA","RU"
"EMEA","RW"
"EMEA","SA"
"EMEA","SC"
"EMEA","SD"
"EMEA","SE"
"EMEA","SH"
"EMEA","SI"
"EMEA","SJ"
"EMEA","SK"
"EMEA","SL"
"EMEA","SM"
"EMEA","SN"
"EMEA","SO"
"EMEA","SS"
"EMEA","ST"
"EMEA","SY"
"EMEA","SZ"
"EMEA","TD"
"EMEA","TG"
"EMEA","TN"
"EMEA","TR"
"EMEA","TZ"
"EMEA","UA"
"EMEA","UG"
"EMEA","VA"
"EMEA","XK"
"EMEA","YE"
"EMEA","YT"
"EMEA","ZA"
"EMEA","ZM"
"EMEA","ZW"
